,Title,Release Date,Price,Rating
1339,Bullet Soul: Infinite Burst,29th Sep 2022,£12.00,0.0
1340,Bullet Trail,10th Jan 2021,£1.79,0.0
1341,Bulletstorm: Duke of Switch Edition,30th Aug 2019,£24.99,7.98
1342,Bullseye,17th Jun 2021,£12.99,0.0
1343,Bumballon,6th Apr 2023,£4.99,0.0
1344,Bumblebee: Little Bee Adventure,9th Feb 2023,£9.99,0.0
1345,Bunker Life,6th Oct 2022,£14.99,0.0
1346,Bunny Adventure,20th Aug 2020,£4.49,3.33
1347,Bunny Bounce,22nd Jul 2021,£4.99,0.0
1348,Bunny Mahjo,14th Apr 2022,£2.69,0.0
1349,Bunny Memory,23rd Mar 2022,£1.89,0.0
1350,Bunny Must Die! Chelsea and the 7 Devils,21st Jul 2022,£11.98,0.0
1351,Bunny Park,30th Sep 2022,£17.99,5.7
1352,Bunny Reversi,28th Apr 2022,£1.79,0.0
1353,Burger Bistro Story,21st Apr 2022,£11.69,0.0
1354,Burger Chef Tycoon,2nd Aug 2019,£4.49,0.0
1355,Burger Master,15th Feb 2021,£4.49,0.0
1356,Burger Patrol,29th Sep 2022,£4.49,0.0
1357,BurgerTime Party!,8th Oct 2019,£17.99,7.51
1358,Buried Stars,29th Jul 2020,£40.49,7.6
1359,Burly Men at Sea,12th Apr 2018,£8.99,7.13
1360,Burn! SuperTrucks,29th Jan 2021,£7.19,0.0
1361,Burnout Paradise Remastered,19th Jun 2020,£24.99,7.5
1362,Burnstar,12th Jul 2018,£2.69,7.17
1363,Burrow of the Fallen Bear,12th Jan 2023,£17.99,6.67
1364,"Bury me, my Love",10th Jan 2019,£4.49,7.0
1365,Bus Driver Simulator,13th Nov 2020,£24.99,6.67
1366,Bus Driver Simulator Countryside,3rd Mar 2022,£13.49,4.3
1367,Bus Driving Simulator 22,4th Oct 2022,£24.99,0.0
1368,Bus Fix 2019,3rd Jul 2019,£5.39,1.6
1369,Bus Simulator City Ride,13th Oct 2022,£29.99,0.0
1370,Bush Hockey League,13th Apr 2022,£13.49,5.63
1371,Business Tour Deluxe,7th Oct 2021,£0.00,0.0
1372,Bustafellows,30th Jul 2021,£34.99,8.57
1373,Butcher,28th Sep 2017,£8.99,6.94
1374,Butterfly's Poison; Blood Chains,11th Nov 2022,£40.49,0.0
1375,Button Button Up!,26th Sep 2019,£10.79,6.25
1376,Button City,10th Aug 2021,£15.99,7.07
1377,Byakko-tai Samurai Boys,3rd Feb 2021,£17.79,0.0
1378,Byte Cats,20th Oct 2022,£10.99,0.0
1379,C.A.R.L.,29th Sep 2022,£11.29,7.83
1380,C14 Dating,7th May 2021,£19.99,0.0
1381,Cabela's: The Hunt - Championship Edition,16th Nov 2018,£17.99,6.67
1382,Cabin Fever,26th Nov 2021,£7.49,0.0
1383,Cadence of Hyrule,13th Jun 2019,£22.49,9.06
1384,Caesar Empire War,5th Jun 2021,£4.99,0.0
1385,Café Enchanté,5th Nov 2020,£44.99,8.0
1386,Cafeteria Nipponica,18th Apr 2019,£11.69,3.33
1387,Caffeine: Victoria's Legacy,29th Sep 2022,£16.19,0.0
1388,Cake Bash,19th Nov 2020,£17.99,7.59
1389,Cake Invaders,26th Jan 2022,£5.49,6.67
1390,Cake Laboratory,24th Dec 2018,£2.69,6.9
1391,Caladrius Blaze,18th Jul 2019,£22.49,3.33
1392,Calculation Castle: Greco's Ghostly Challenge - Addition,24th May 2018,£7.50,3.33
1393,Calculation Castle: Greco's Ghostly Challenge - Division,24th May 2018,£7.50,0.0
1394,Calculation Castle: Greco's Ghostly Challenge - Multiplication,24th May 2018,£7.50,0.0
1395,Calculation Castle: Greco's Ghostly Challenge - Subtraction,24th May 2018,£7.50,0.0
1396,Calculator,12th May 2021,£8.09,0.0
1397,Calico,15th Dec 2020,£8.99,5.96
1398,Call of Cthulhu,8th Oct 2019,£17.99,6.55
1399,Call of Juarez: Gunslinger,10th Dec 2019,£17.99,7.55
1400,Calm Colors,8th Apr 2022,£3.39,6.67
1401,Calturin,28th Jan 2022,£5.39,0.0
1402,Camped Out!,22nd Sep 2022,£19.99,6.67
1403,Camper Van Simulator,15th Apr 2022,£11.69,0.0
1404,Camper Van Simulator 2,18th Nov 2022,£11.69,0.0
1405,Can Androids Pray: Blue,16th Apr 2020,£5.79,6.99
1406,Can Androids Survive,28th Jun 2022,£8.59,0.0
1407,Can't Drive This,19th Mar 2021,£17.99,5.6
1408,Candle: The Power of the Flame,26th Jul 2018,£14.99,6.6
1409,Candleman,3rd Oct 2019,£12.59,7.07
1410,Candy 2048 Challenge,25th Dec 2020,£6.99,0.0
1411,Candy Jump featuring Frosty,24th Dec 2020,£5.99,0.0
1412,Candy Match Kiddies,10th Apr 2021,£3.99,0.0
1413,Candy Raid: The Factory,30th Sep 2020,£3.99,0.0
1414,Canfield Solitaire Collection,31st Aug 2022,£6.90,0.0
1415,Cannibal Cuisine,20th May 2020,£11.69,6.3
1416,Cannon Army,18th Jun 2021,£3.99,0.0
1417,Cannon Brawl,14th Apr 2021,£8.99,7.67
1418,Capcom Arcade 2nd Stadium,22nd Jul 2022,£0.00,8.12
1419,Capcom Arcade Stadium,18th Feb 2021,£0.00,8.27
1420,Capcom Beat ’Em Up Bundle,18th Sep 2018,£15.99,7.51
1421,Capcom Fighting Collection,24th Jun 2022,£32.98,7.97
1422,Captain Cat,21st Jun 2019,£6.29,6.0
1423,Captain Sabertooth and the Magic Diamond,20th Nov 2020,£31.39,5.85
1424,Captain StarONE,12th Feb 2019,£9.19,3.33
1425,Captain Toad: Treasure Tracker,13th Jul 2018,£34.99,8.07
1426,Captain Tsubasa: Rise of New Champions,28th Aug 2020,£59.99,7.21
1427,Captain Velvet Meteor: The Jump+ Dimensions,27th Jul 2022,£18.89,3.33
1428,Capybara Madness,30th Jan 2023,£6.39,0.0
1429,Car Dealer Driver,24th Jun 2022,£8.99,0.0
1430,Car Demolition Clicker,28th Apr 2021,£6.29,0.0
1431,Car Driver Ultimate,18th Mar 2022,£12.59,0.0
1432,Car Driving School Simulator,25th Sep 2020,£12.59,0.0
1433,Car Driving Simulator,30th Jun 2021,£17.99,0.0
1434,Car Factory Driver,3rd Feb 2023,£11.69,0.0
1435,Car Mats,6th Oct 2022,£4.00,0.0
1436,Car Mayhem,5th Jun 2019,£7.19,0.0
1437,Car Mechanic Manager,7th May 2019,£3.59,6.67
1438,Car Mechanic Pinball,22nd Sep 2022,£4.49,6.67
1439,Car Mechanic Simulator,15th Feb 2019,£14.99,3.33
1440,Car Mechanic Simulator Pocket Edition,27th Sep 2019,£17.99,3.33
1441,Car Mechanic Simulator Pocket Edition 2,15th Apr 2022,£13.99,3.33
1442,Car Parking Club,4th Nov 2022,£11.69,0.0
1443,Car Parking Madness,22nd Dec 2022,£5.99,0.0
1444,Car Parking Multiplayer,19th Jan 2023,£20.99,0.0
1445,Car Parking Simulator,29th Apr 2022,£11.69,0.0
1446,Car Puzzle for Toddlers and Kids,19th Dec 2022,£6.99,0.0
1447,Car Quest,25th Oct 2018,£18.89,5.63
1448,Car Racing Highway Driving Simulator,11th Aug 2022,£4.99,0.0
1449,Car Racing Trials,3rd Jun 2022,£11.69,0.0
1450,Car Trader,12th May 2019,£3.59,6.67
1451,Car Wash – Cars & Trucks Garage Game for Toddlers & Kids,15th Jul 2021,£8.99,0.0
1452,Car+Toon Race: Rally Valley Champion,27th Oct 2022,£10.99,0.0
1453,Carcassonne,6th Dec 2018,£17.99,6.67
1454,Card Game Bundle Vol. 1,26th Mar 2020,£21.59,3.33
1455,Card Shark,2nd Jun 2022,£17.99,8.46
1456,Cardaclysm: Shards of the Four,13th Aug 2021,£11.99,5.95
1457,Cardfight!! Vanguard Dear Days,16th Nov 2022,£53.09,0.0
1458,Cardful Planning,29th Apr 2022,£4.99,6.67
1459,Cardpocalypse,12th Dec 2019,£22.49,7.0
1460,Cards of the Dead,21st Oct 2021,£13.49,3.33
1461,Carebotz,20th Dec 2021,£6.65,0.0
1462,Caretaker,16th Jul 2020,£7.19,3.33
1463,Cargo Crew Driver,19th Mar 2021,£10.79,0.0
1464,Carnage: Battle Arena,14th May 2020,£13.49,3.33
1465,Carnival Games,6th Nov 2018,£34.99,5.57
1466,Carnivores: Dinosaur Hunt,1st Jun 2021,£13.49,4.57
1467,Carrion,23rd Jul 2020,£17.99,8.28
1468,Cars 3: Driven to Win,14th Jul 2017,£49.99,5.89
1469,Cars Puzzles Game - Funny Cars and Trucks,7th Apr 2022,£13.49,0.0
1470,Carto,27th Oct 2020,£17.99,8.39
1471,Cartoon Network: Battle Crashers,31st Oct 2017,£17.99,3.4
1472,Cartoon Tower Defense,29th Dec 2021,£3.99,0.0
1473,CarX Drift Racing Online,24th Jun 2021,£21.99,6.67
1474,Case 2: Animatronics Survival,30th Oct 2020,£15.99,0.0
1475,CASE: Animatronics,3rd Oct 2019,£17.99,0.0
1476,Casino Golf,3rd Jun 2022,£8.99,0.0
1477,Casino Heaven: Slots & Bonus Games,5th May 2022,£7.19,0.0
1478,Casino Roulette Royal,9th Sep 2021,£4.49,0.0
1479,Cassiodora,14th Dec 2022,£15.29,0.0
1480,Cast of the Seven Godsends,3rd May 2018,£9.99,5.72
1481,Castaway Paradise,29th Apr 2021,£17.99,5.0
1482,Castle Crashers,17th Sep 2019,£15.29,7.91
1483,Castle Formers,22nd Apr 2022,£4.99,0.0
1484,Castle Heroes,2nd Apr 2021,£2.69,0.0
1485,Castle Kong,24th Feb 2021,£5.99,6.97
1486,Castle Morihisa,10th Feb 2022,£13.49,7.33
1487,Castle of Heart,23rd Mar 2018,£13.49,5.92
1488,Castle of no Escape,15th Oct 2020,£4.49,0.0
1489,Castle of no Escape 2,22nd Nov 2019,£5.99,3.33
1490,Castle of Pixel Skulls,6th Aug 2021,£4.99,6.67
1491,Castle on the Coast,2nd Dec 2021,£13.49,3.33
1492,Castle Pals,29th May 2020,£4.99,6.5
1493,CastleStorm,16th Aug 2018,£13.49,7.6
1494,CastleStorm II,23rd Sep 2020,£17.99,6.25
1495,Castlevania Advance Collection,24th Sep 2021,£15.99,8.93
1496,Castlevania Anniversary Collection,16th May 2019,£15.99,8.23
1497,Casual Challenge Players' Club,29th Sep 2022,£4.49,0.0
1498,Cat Cafe Manager,14th Apr 2022,£18.99,7.56
1499,Cat Girl Without Salad: Amuse-Bouche,1st Apr 2020,£6.24,6.48
1500,Cat Quest,10th Nov 2017,£9.99,7.17
1501,Cat Quest II,24th Oct 2019,£12.99,7.8
1502,Cat Slide Tiles,11th Aug 2022,£3.59,0.0
1503,Cat Tales,4th Nov 2022,£17.99,3.33
1504,Catacomb Kitties,2nd Nov 2022,£5.39,3.33
1505,Catan,20th Jun 2019,£13.49,5.33
1506,Catana,20th Apr 2022,£6.29,0.0
1507,Catastronauts,24th Dec 2018,£12.99,6.67
1508,Catch 'Em! Goldfish Scooping,2nd Aug 2018,£6.29,3.33
1509,Catch a Duck,29th Jul 2019,£4.49,6.38
1510,CATch the Stars,3rd Mar 2022,£2.49,0.0
1511,Caterpillar Royale,19th Feb 2019,£4.49,5.13
1512,Catgotchi: Virtual Pet,7th Apr 2023,£11.69,0.0
1513,Cathedral,18th Feb 2021,£12.59,7.56
1514,Catherine: Full Body,7th Jul 2020,£44.99,8.1
1515,Catie in Meowmeowland,28th Apr 2022,£9.99,7.68
1516,Catlateral Damage: Remeowstered,15th Sep 2021,£11.99,3.33
1517,Catmaze,8th Sep 2022,£9.99,7.15
1518,Cats Puzzle,24th Dec 2022,£8.99,0.0
1519,Cattails,29th Nov 2018,£11.99,7.75
1520,CATTCH,22nd Jan 2021,£6.29,0.0
1521,Catty & Batty: The Spirit Guide,13th Oct 2021,£4.49,0.0
1522,Cave Bad,3rd Mar 2021,£4.49,3.33
1523,Cave Digger,14th Dec 2020,£13.39,0.0
1524,Cave Story+,20th Jul 2017,£26.99,8.64
1525,Caveblazers,10th Jan 2019,£11.99,7.63
1526,Caveman Chuck,21st Jan 2020,£3.59,0.0
1527,Caveman Tales,17th Sep 2020,£8.99,6.67
1528,Caveman Warriors,5th Dec 2017,£11.69,5.86
1529,Caverns of Mars: Recharged,9th Mar 2023,£8.09,6.67
1530,Caves and Castles: Underworld,29th Jan 2021,£4.49,0.0
1531,Cecconoid,17th Aug 2020,£19.99,7.17
1532,Ceilless,4th Feb 2022,£2.19,0.0
1533,Cel Damage HD,28th Mar 2019,£8.09,6.67
1534,Celebrity Slot Machine,6th Apr 2023,£6.99,0.0
1535,Celeste,25th Jan 2018,£17.99,9.6
1536,Celestian Tales,1st Aug 2022,£13.49,3.33
1537,Cellular Harvest,10th Feb 2022,£6.29,6.03
1538,Centipede: Recharged,29th Sep 2021,£7.99,7.32
1539,Chain Car Stunt Simulator,26th Jan 2023,£1.99,0.0
1540,Chained Echoes,8th Dec 2022,£22.99,9.27
1541,Chalk Dash Carnival,6th Nov 2018,£5.40,0.0
1542,Chalk Gardens,11th Nov 2022,£5.39,0.0
1543,Chameleon,26th Nov 2019,£4.49,3.33
1544,Chameleon Run Deluxe Edition,14th Jun 2018,£4.99,6.67
1545,Chameneon,18th Aug 2022,£3.59,3.33
1546,Chaos Code -New Sign of Catastrophe-,26th Mar 2020,£8.99,6.67
1547,Chaos on Deponia,27th Nov 2019,£17.99,6.67
1548,Chaos; Child,7th Oct 2022,£22.49,7.0
1549,Chaos; Head Noah,7th Oct 2022,£22.49,7.7
1550,Chapeau,31st Mar 2020,£12.99,6.88
1551,Charge Kid,6th Jan 2021,£1.79,6.98
1552,Charon's Staircase,28th Oct 2022,£30.99,6.67
1553,Charterstone: Digital Edition,6th Oct 2020,£22.49,3.33
1554,Chasing Light,2nd Feb 2023,£18.00,0.0
1555,Chasing Static,12th Jan 2023,£14.99,7.33
1556,Chasm,11th Oct 2018,£15.99,7.46
1557,Checkers,23rd Jul 2020,£8.09,0.0
1558,Checkers for Kids,20th Aug 2021,£8.99,0.0
1559,Checkers Master,10th Apr 2021,£4.99,0.0
1560,Checkers Minimal,25th Feb 2022,£4.49,0.0
1561,Chef Life: A Restaurant Simulator,23rd Feb 2023,£35.99,3.33
1562,Chef Word Ardee,21st Jan 2022,£7.99,0.0
1563,Chef's Tail,22nd Sep 2021,£10.39,0.0
1564,Chefy-Chef,6th May 2022,£4.99,0.0
1565,Chenso Club,1st Sep 2022,£11.99,7.4
1566,Chess,21st May 2020,£8.09,0.0
1567,Chess - Clash of Kings,3rd Jan 2022,£8.99,0.0
1568,Chess Ace,23rd Jul 2020,£7.19,0.0
1569,Chess Brain,11th Nov 2021,£3.59,0.0
1570,Chess Brain: Dark Troops,1st Sep 2022,£3.59,0.0
1571,Chess Cartoons,8th Apr 2022,£4.49,0.0
1572,Chess Classic Board Game,6th Oct 2022,£8.99,0.0
1573,Chess Gambit,15th Aug 2021,£5.99,0.0
1574,Chess Knights: Shinobi,18th May 2021,£3.59,3.33
1575,Chess Knights: Viking Lands,18th Mar 2021,£1.79,7.5
1576,Chess Maiden,14th Feb 2023,£5.39,0.0
1577,Chess Minimal,6th Nov 2020,£4.49,0.0
1578,Chess Openings and Book Moves,28th Feb 2023,£2.69,0.0
1579,Chess Pills,2nd Mar 2023,£2.49,0.0
1580,Chess Royal,21st Jan 2021,£2.69,0.0
1581,Chess Ultra,2nd Nov 2017,£9.99,7.9
1582,Chicken Assassin: Reloaded,26th Jul 2018,£5.99,5.16
1583,Chicken Police – Paint it RED!,5th Nov 2020,£17.99,8.4
1584,Chicken Range,25th Oct 2018,£8.99,0.0
1585,Chicken Rider,17th May 2019,£3.59,3.4
1586,Chickens Madness,27th Oct 2020,£7.39,0.0
1587,Chickens on the Road,21st Apr 2022,£0.89,0.0
1588,Chicory: A Colorful Tale,15th Dec 2021,£17.09,9.0
1589,Chiki Chiki Boxy Racers,30th Aug 2018,£8.99,6.36
1590,Chiki-Chiki Boxy Pro Wrestling,27th Jun 2019,£13.49,7.5
1591,Child of Light,11th Oct 2018,£16.00,8.0
1592,Children of Morta,20th Nov 2019,£19.79,8.19
1593,Children of Silentown,11th Jan 2023,£17.99,7.58
1594,Children of Zodiarcs,27th Mar 2020,£15.99,8.5
1595,Chill Panda,14th Dec 2020,£9.99,0.0
1596,Chime Sharp,28th May 2019,£9.99,6.67
1597,Chinatown Detective Agency,7th Apr 2022,£19.99,7.57
1598,Chinese Parents,20th Aug 2020,£9.99,6.67
1599,Chippy,23rd Mar 2022,£17.99,0.0
1600,Chocobo GP,10th Mar 2022,£0.00,6.64
1601,Chocobo's Mystery Dungeon EVERY BUDDY!,20th Mar 2019,£32.99,7.57
1602,Choice of Life: Middle Ages 2,28th Feb 2023,£6.19,3.33
1603,Choices That Matter: And The Sun Went Out,4th Nov 2020,£4.99,3.33
1604,Choices That Matter: And Their Heroes Were Lost,10th Feb 2021,£4.99,3.33
1605,Choices That Matter: And Their Souls Were Eaten,5th Jan 2021,£4.99,3.33
1606,Choju Giga Wars,24th Feb 2022,£6.29,0.0
1607,Chompy Chomp Chomp Party,17th Nov 2022,£8.99,3.33
1608,Chop,13th Sep 2019,£8.99,6.67
1609,Chop is Dish,30th Sep 2019,£2.69,0.0
1610,Christmas Racing,24th Dec 2021,£0.89,0.0
1611,Christmas Tina,29th Jul 2021,£20.69,0.0
1612,Chroma Quaternion,3rd Jun 2021,£13.49,7.97
1613,Chroma Squad,1st Aug 2019,£13.49,7.4
1614,ChromaGun,22nd Jan 2018,£17.99,7.0
1615,Chronicles of Albian: The Magic Convention,19th Jan 2023,£10.79,0.0
1616,Chrono Cross: The Radical Dreamers Edition,7th Apr 2022,£15.99,7.96
1617,Chronos: Before the Ashes,1st Dec 2020,£26.64,5.88
1618,Chronus Arc,20th Dec 2018,£11.69,4.67
1619,Chubby Cat,2nd Apr 2022,£8.99,0.0
1620,Chubby Cat 2,17th Dec 2022,£8.99,0.0
1621,Ciel Fledge: A Daughter Raising Simulator,21st Feb 2020,£7.99,6.4
1622,Cinders,14th Feb 2019,£17.99,7.28
1623,Circa Infinity,5th Nov 2021,£8.99,7.2
1624,Circa Infinity Ultimate Edition,13th Dec 2021,£9.89,3.33
1625,Circle of Sumo,16th Nov 2018,£8.99,3.33
1626,Circle of Sumo: Online Rumble!,17th Oct 2020,£0.00,0.0
1627,Circuit Dude,7th Sep 2020,£4.49,7.57
1628,Circuits,5th Apr 2019,£4.49,0.0
1629,Circus Electrique,6th Sep 2022,£17.99,7.58
1630,Circus Pocus,28th Jan 2022,£4.49,0.0
1631,Cities: Skylines,14th Sep 2018,£35.99,6.1
1632,Citizen Sleeper,5th May 2022,£17.99,8.64
1633,Citizens of Space,18th Jun 2019,£11.99,7.43
1634,Citizens Unite! Earth x Space,28th Jan 2021,£26.99,7.17
1635,City Builder,17th Dec 2018,£8.99,3.33
1636,City Bus Driving Simulator,7th Aug 2020,£10.79,0.0
1637,City Driving Simulator,26th Jun 2020,£10.79,0.0
1638,City Driving Simulator 2,20th Aug 2021,£10.79,0.0
1639,City Match - A Block Pop Puzzle Game,30th Jul 2021,£6.99,0.0
1640,City of Brass,8th Feb 2019,£13.49,7.64
1641,City Pipes,27th Oct 2021,£2.69,0.0
1642,City Stunt Driver,22nd Oct 2021,£10.79,0.0
1643,City Super Hero 3D - Flying Legend Warriors Deluxe Simulator 3D,28th Jul 2022,£8.99,0.0
1644,City Traffic Driver,19th Nov 2021,£10.79,0.0
1645,City Traffic Driver 2,2nd Sep 2022,£11.69,0.0
1646,City Wars: Tokyo Reign,1st Sep 2022,£9.99,3.33
1647,Civilization VI,16th Nov 2018,£59.99,8.63
1648,Clan N,5th Aug 2020,£13.49,3.33
1649,Clan O'Conall and the Crown of the Stag,2nd Jun 2022,£5.59,0.0
1650,Clannad,4th Jul 2019,£40.49,0.0
1651,Clannad Side Stories,20th May 2021,£35.99,0.0
1652,Clash Force,3rd Jul 2020,£4.99,5.23
1653,Classic Checkers,3rd May 2021,£7.19,0.0
1654,Classic Games Collection Vol. 1,26th Jul 2019,£4.49,0.0
1655,Classic Games Collection Vol. 2,7th Oct 2022,£4.49,0.0
1656,Classic Logical Bundle (4in1),16th Sep 2021,£8.99,0.0
1657,Classic Pool,10th Jul 2021,£7.19,0.0
1658,Classic Snake Adventures,23rd Jan 2020,£7.99,3.33
1659,Classic Solitaire,14th May 2021,£4.49,0.0
1660,Claws of Furry,3rd Sep 2018,£8.99,5.8
1661,Clay Skeet Shooting,17th Jan 2021,£3.99,0.0
1662,Claybook,12th Mar 2019,£13.49,7.13
1663,Clea,30th Oct 2020,£13.49,6.89
1664,Clea 2,25th Mar 2021,£11.69,7.38
1665,Cleo - a pirate's tale,10th Aug 2022,£11.29,3.33
1666,Cleopatra Fortune S-Tribute,23rd Nov 2022,£13.49,0.0
1667,Climbros,29th May 2020,£8.89,0.0
1668,Clive 'n' Wrench,24th Feb 2023,£24.99,5.36
1669,Clock Maker: My Clock - ver. digital with timer,6th Oct 2022,£1.00,0.0
1670,Clock Simulator,10th Jan 2019,£3.59,6.18
1671,Clocker,25th Feb 2021,£3.59,0.0
1672,Clockwork Aquario,30th Nov 2021,£16.99,7.18
1673,Clone Drone in the Danger Zone,27th Jul 2021,£19.99,6.67
1674,Close to the Sun,29th Oct 2019,£19.99,5.9
1675,Cloud Gardens,16th Jun 2022,£13.99,7.29
1676,Cloudbase Prime,7th May 2020,£7.19,6.67
1677,Cloudpunk,15th Oct 2020,£19.99,6.32
1678,Clouds & Sheep 2,21st Dec 2018,£8.99,7.33
1679,Clouzy!,24th Feb 2022,£11.29,0.0
1680,Cluedo,30th Nov 2018,£29.99,7.0
1681,Clumsy Rush,23rd Dec 2019,£4.99,6.43
1682,Clumsy Rush: Ultimate Guys,5th Aug 2022,£6.29,3.33
1683,Clunky Hero,25th Jan 2023,£14.99,6.1
1684,Cluster Truck,15th Mar 2018,£13.49,7.13
1685,Clusterpuck 99,29th Mar 2018,£7.69,7.2
1686,Clutter 1000,17th Mar 2022,£8.99,0.0
1687,Clutter 12: It's About Time - Collector's Edition,5th Jan 2023,£13.49,3.33
1688,Clutter Evolution: Beyond Xtreme,14th Jul 2022,£8.99,0.0
1689,Clutter IX: Clutter IXtreme,14th Apr 2022,£8.99,0.0
1690,Coast Guard: Beach Rescue Team,5th Jun 2020,£10.79,0.0
1691,Cobra Kai 2: Dojos Rising,8th Nov 2022,£39.99,6.67
1692,Cobra Kai: The Karate Kid Saga Continues,24th Nov 2020,£34.99,6.33
1693,CoComelon: Play with JJ,28th Oct 2022,£34.99,0.0
1694,Code of Princess EX,31st Jul 2018,£35.99,6.59
1695,Code Shifter,30th Jan 2020,£17.09,6.69
1696,Code: Realize - Future Blessings,23rd Apr 2020,£35.99,7.0
1697,Code: Realize ~Guardian of Rebirth~,6th Feb 2020,£35.99,8.07
1698,Code: Realize ~Wintertide Miracles~,25th Feb 2021,£35.99,3.33
1699,Codebreaker Puzzle 1000! ENG & JAN,25th Feb 2021,£6.99,0.0
1700,Coffee Crisis,30th Nov 2018,£8.99,6.33
1701,Coffee Talk,29th Jan 2020,£11.69,7.6
1702,Coffin Dodgers,13th Mar 2018,£9.99,5.29
1703,Cogen: Sword of Rewind,26th Jan 2022,£22.49,3.33
1704,Cold Silence,26th Dec 2021,£4.49,0.0
1705,Collab Ball,5th Jan 2023,£4.49,0.0
1706,Collapsed,29th Aug 2020,£13.49,6.7
1707,Collar X Malice,25th Jun 2020,£35.99,8.0
1708,Collar X Malice -Unlimited-,13th Aug 2020,£44.99,6.33
1709,Collection of Mana,11th Jun 2019,£34.99,8.45
1710,Collection of SaGa Final Fantasy Legend,15th Dec 2020,£14.99,7.08
1711,Collidalot,9th Nov 2018,£1.00,6.37
1712,Collide-a-Ball 2,25th Jul 2019,£4.49,0.0
1713,Colloc,24th Jul 2020,£6.29,3.33
1714,Color Breakers,6th Jul 2022,£13.49,0.0
1715,Color Dot Connect,28th May 2021,£4.49,0.0
1716,Color Your World,20th May 2021,£12.99,0.0
1717,Color Zen,26th Nov 2018,£0.00,3.33
1718,Color Zen Kids,18th Oct 2018,£3.49,0.0
1719,Color.Motif Deluxe,14th Nov 2019,£2.69,0.0
1720,Colorfall,23rd Apr 2021,£4.99,0.0
1721,Colorful Colore,22nd Jan 2021,£2.69,3.33
1722,Colorgrid,24th Mar 2020,£0.89,0.0
1723,Coloring Book,16th Nov 2018,£0.00,5.83
1724,Coloring Book for Adults,18th Aug 2022,£14.99,0.0
1725,Coloring Pages: Lumberhill Tales,8th Dec 2022,£0.00,0.0
1726,Coloring Pixels: Collection 1,25th May 2022,£6.59,3.33
1727,Coloring Pixels: Collection 2,7th Dec 2022,£6.59,0.0
1728,Colors and Numbers,26th Jan 2022,£3.59,0.0
1729,Colors Live,14th Sep 2021,£24.99,7.0
1730,Colossal Cave,9th Mar 2023,£19.99,5.7
1731,Colossus Down,28th Jan 2021,£14.99,5.9
1732,Colossus Mission,2nd Jul 2021,£4.49,0.0
1733,Colour Jumper,27th Aug 2020,£8.49,3.33
1734,Colsword,30th Sep 2021,£2.99,0.0
1735,Colt Canyon,16th Jun 2020,£11.99,7.77
1736,Combat Core,10th Jan 2019,£15.79,0.0
1737,Comic Coloring Book,28th Dec 2020,£0.00,0.0
1738,Comic Coloring Book - Complete Edition,12th Nov 2021,£17.99,0.0
1739,Commander Keen in Keen Dreams: Definitive Edition,27th Aug 2020,£4.49,3.33
1740,Commandos 2 - HD Remaster,4th Dec 2020,£16.99,5.28
1741,Commandos 3: HD Remaster,30th Aug 2022,£26.99,0.0
1742,Community Inc,4th Oct 2019,£12.99,5.14
1743,Composer,30th Oct 2021,£11.59,0.0
1744,Conan Chop Chop,1st Mar 2022,£16.99,7.25
1745,Conarium,21st Jan 2021,£14.99,0.0
1746,Concept Destruction,22nd May 2020,£4.99,6.35
1747,Concordia,18th Jan 2022,£22.49,3.33
1748,Conduct Together!,6th Dec 2018,£17.99,7.63
1749,Conga Master Party!,28th Sep 2017,£7.99,6.93
1750,Conglomerate 451: Overloaded,3rd Jun 2021,£8.99,0.0
1751,Conjurer Andy's Repeatable Dungeon,23rd Jun 2020,£6.69,0.0
1752,Connect Bricks,9th Jul 2021,£8.89,0.0
1753,Connect Color Dots: Fun Water Flow Pipe Line Art Puzzle Game,27th May 2021,£8.89,0.0
1754,Connect It!,16th Apr 2021,£2.69,0.0
1755,Connect the Dots,9th Jul 2021,£6.99,0.0
1756,ConnecTank,28th Sep 2021,£26.99,6.67
1757,Connection reHaunted,13th May 2021,£5.49,0.0
1758,Connecto,13th May 2022,£2.69,0.0
1759,Construction Machines Sim,12th May 2022,£13.49,0.0
1760,Construction Machines Simulator,19th Apr 2019,£25.19,0.0
1761,Construction Ramp Jumping,21st Jul 2022,£8.99,0.0
1762,Construction Simulator 2 US - Console Edition,6th Nov 2019,£17.99,7.21
1763,Construction Simulator 3 - Console Edition,21st Oct 2020,£17.99,3.33
1764,Construction Site Driver,3rd Dec 2021,£12.59,0.0
1765,Construction Site Driver 2,21st Oct 2022,£11.69,0.0
1766,Constructor Plus,28th Feb 2019,£19.99,6.67
1767,Containment,19th Feb 2021,£1.39,0.0
1768,Contra Anniversary Collection,11th Jun 2019,£15.99,8.02
1769,Contra: Rogue Corps,26th Sep 2019,£39.99,4.94
1770,Contract Killers,8th Feb 2021,£7.19,0.0
1771,Contraptions,10th Oct 2019,£7.99,6.67
1772,Control Ultimate Edition – Cloud Version,28th Oct 2020,£0.00,3.33
1773,Convoy: A Tactical Roguelike,8th Apr 2020,£13.49,6.95
1774,"Cook, Serve, Delicious! 2!!",10th Apr 2019,£12.99,8.44
1775,"Cook, Serve, Delicious! 3?!",14th Oct 2020,£15.09,7.38
1776,Cookie Bakery,12th Feb 2022,£8.99,0.0
1777,Cooking Festival,29th Jan 2021,£8.99,0.0
